1981 :  Castle Wolfenstein 
1984 :  Beyond Castle Wolfenstein 
1984 :  Beyond Castle Wolfenstein 
1985 :  Silent Service 
1986 :  Into the Eagle's Nest 
1986 :  The Great Escape 
1988 :  Air Warrior 
1988 :  Conqueror 
1990 :  Silent Service II 
1990 :  The Red Baron 
1991 :  Hellcats Over the Pacific 
1991 :  Secret Weapons of the Luftwaffe 
1991 :  Koutetsu no Kishi 
1992 :  Wolfenstein 3D 
1992 :  Wolfenstein: Spear of Destiny 
1992 :  M4 
1992 :  Aces of the Pacific 
1992 :  Barbarossa 
1993 :  Aces over Europe 
1994 :  1942:Pacific Air War 
1994 :  Pacific Strike 
1994 :  Grandest Fleet 
1994 :  Panzer General 
1994 :  Operation Europe: Path To Victory 
1994 :  Koutetsu no Kishi 2: Sabaku no Rommel Shougun 
1995 :  Allied General 
1995 :  Sgt. Saunders' Combat! 
1995 :  Operation Europe: Path to Victory 
1995 :  Koutetsu no Kishi 3: Gekitotsu Europe Sensen 
1996 :  Silent Hunter 
1996 :  Close Combat 
1997 :  Counter Action 
1997 :  Close Combat: A Bridge Too Far 
1997 :  Pacific General 
1997 :  Panzer General II 
1998 :  Panzer Commander 
1998 :  iPanzer ´44 
1998 :  European Air War 
1998 :  Jane's WWII Fighters 
1998 :  Warbirds 2.01 
1998 :  Microsoft Combat Flight Simulator 
1998 :  Commandos: Behind Enemy Lines 
1998 :  Close Combat III: The Russian Front 
1998 :  Soldiers at War 
1999 :  Medal of Honor 
1999 :  Mortyr 
1999 :  Hidden and Dangerous 
1999 :  Panzer Elite 
1999 :  Luftwaffe Commander 
1999 :  Fighter Squadron: Screamin' Demons Over Europe 
1999 :  Commandos: Beyond the Call of Duty 
1999 :  Close Combat IV: Battle of the Bulge 
1999 :  Panzer General 3D Assault 
1999 :  Battle of Asia in World War II 
2000 :  Medal of Honor: Underground 
2000 :  Panzer Front 
2000 :  Iron Aces 
2000 :  Microsoft Combat Flight Simulator 2: WWII Pacific Theater 
2000 :  Aces High II 
2000 :  Close Combat: Invasion Normandy 
2000 :  Sudden Strike 
2000 :  Panzer General III: Scorched Earth 
